Radius,AvgDF,Velocity,Radius,AvgDF,Velocity
19.16671875,0.3205,0.769,16.5965625,0.2077,0.748
19.66734375,0.3469,0.839,16.86421875,0.1648,0.523
15.03421875,0.2372,0.753,19.2028125,0.2563,0.592
9.92671875,0.1621,0.881,14.31984375,0.1973,0.784
17.86546875,0.3139,0.739,16.48125,0.2302,0.795
11.49234375,0.1902,0.775,12.63421875,0.2043,0.767
14.73046875,0.2634,0.495,15.841875,0.1895,0.65
16.760625,0.1474,0.566,8.90203125,0.1042,0.686
10.91625,0.184,0.849,17.533125,0.2145,0.815
16.92,0.2956,0.767,17.6390625,0.248,0.717
11.18203125,0.1843,0.832,8.93671875,0.1516,0.707
18.30515625,0.3233,0.73,16.8628125,0.2874,0.767
9.3984375,0.2251,0.577,14.19984375,0.1751,0.675
18.0890625,0.2752,0.713,9.5390625,0.1754,0.882
15.744375,0.2616,0.772,17.85421875,0.229,0.53
8.44921875,0.108,0.693,12.54421875,0.1964,0.596
17.46890625,0.3089,0.71,13.71140625,0.1778,0.737
15.568125,0.264,0.751,10.8590625,0.1769,0.72
9.27,0.1617,0.783,10.64578125,0.1379,0.681
14.7384375,0.2379,0.692,15.73640625,0.2043,0.915
13.01671875,0.2191,0.855,16.67484375,0.2311,0.775
15.369375,0.2916,0.71,14.15203125,0.2416,0.58
14.24390625,0.248,0.72,19.6115625,0.2895,0.544
18.07078125,0.3025,0.725,11.19890625,0.1667,0.647
15.219375,0.2714,0.564,14.8340625,0.221,0.86
13.56984375,0.2102,0.843,17.4496875,0.2622,0.682
11.38171875,0.141,0.685,18.06140625,0.2973,0.773
14.84296875,0.2222,0.805,15.9346875,0.2694,0.682
14.188125,0.2196,0.845,12.451875,0.2029,0.777
11.6371875,0.1947,0.65,17.49421875,0.2246,0.547
19.77234375,0.3539,0.419,17.9671875,0.2395,0.617
14.945625,0.27,0.816,18.015,0.2139,0.442
14.16,0.2579,0.766,18.00703125,0.2656,0.725
13.7475,0.1651,0.706,14.14171875,0.1845,0.738
9.64875,0.16,0.642,13.88578125,0.182,0.712
14.0296875,0.2121,0.781,17.0315625,0.2476,0.531
15.328125,0.2483,0.809,17.630625,0.2572,0.654
13.8703125,0.2046,0.794,14.0784375,0.1953,0.826
14.6915625,0.2237,0.904,17.150625,0.2256,0.77
9.69234375,0.201,0.667,11.11921875,0.1719,0.434
10.88953125,0.1525,0.726,12.1753125,0.2048,1.101
17.445,0.2902,0.77,16.3725,0.2448,0.788
16.5328125,0.2471,0.945,13.7578125,0.2066,0.921
16.38515625,0.2967,0.756,11.91609375,0.1848,1.087
19.2440625,0.3421,0.612,16.24734375,0.2492,0.733
18.8034375,0.3053,0.634,13.1146875,0.2169,0.701
17.80125,0.3141,0.725,17.46234375,0.2958,0.724
13.7175,0.2211,0.902,19.26375,0.2781,0.512
16.34109375,0.3078,0.754,15.7378125,0.1992,0.819
16.80140625,0.2768,0.732,18.27796875,0.057,0.625
19.04765625,0.351,0.68,13.9875,0.2368,0.579
10.14328125,0.1582,0.889,15.39375,0.2135,0.665
16.5121875,0.269,0.765,13.1334375,0.2233,0.651
15.40125,0.2582,0.792,13.1353125,0.196,0.846
15.52734375,0.2529,0.808,16.5328125,0.2519,0.785
13.89,0.2353,0.779,15.714375,0.2419,0.5
19.12265625,0.338,0.444,17.10515625,0.2343,0.97
17.54671875,0.3452,0.739,13.37625,0.2304,0.944
18.00328125,0.2954,0.546,15.59484375,0.1852,0.803
19.53046875,0.3373,0.587,15.27609375,0.2172,0.799
13.60078125,0.253,0.585,17.36625,0.2728,0.845
17.4103125,0.2694,0.865,9.99609375,0.1609,0.946
19.81453125,0.3337,0.458,18.76265625,0.2422,0.669
11.79375,0.1754,0.858,15.0628125,0.2062,0.587
8.2603125,0.1731,0.668,11.83125,0.2317,0.662
10.5825,0.201,0.648,17.55703125,0.2323,0.686
14.06625,0.2271,0.75,11.308125,0.1815,0.501
15.980625,0.2903,0.912,15.3646875,0.2048,0.79
10.14984375,0.1447,1.145,8.9728125,0.1109,0.863
16.69265625,0.2899,0.728,19.75875,0.2665,0.624
13.84640625,0.244,0.94,18.31734375,0.2599,0.539
18.40828125,0.3214,1.124,14.13046875,0.2033,0.773
16.88109375,0.335,0.755,15.751875,0.2701,0.705
9.238125,0.1518,1.039,18.33890625,0.2643,0.661
16.82953125,0.2938,0.83,15.42328125,0.2232,0.662
9.52078125,0.184,0.716,18.28921875,0.2978,0.65
17.65078125,0.2763,0.757,14.65734375,0.2209,0.45
17.529375,0.2744,0.739,12.59578125,0.1748,0.918
15.90328125,0.275,0.809,13.49578125,0.177,0.887
16.24828125,0.2619,0.706,11.79234375,0.1685,0.907
15.57609375,0.2659,0.816,13.52765625,0.1751,0.788
17.25890625,0.327,0.689,14.68921875,0.2117,0.947
18.61453125,0.3156,0.562,14.03671875,0.132,0.69
18.72,0.2893,0.765,12.98015625,0.1848,0.578
9.871875,0.1901,0.59,12.03375,0.1669,0.832
11.29359375,0.1382,0.774,14.44734375,0.2125,0.674
14.626875,0.2514,0.795,8.49703125,0.1658,0.963
17.499375,0.312,0.455,12.24609375,0.1473,0.819
11.6484375,0.2379,0.825,12.75421875,0.1638,0.78
18.40453125,0.3247,0.774,15.271875,0.2447,0.69
16.3434375,0.2462,0.48,17.50078125,0.2652,0.825
13.70296875,0.1985,1.154,18.8109375,0.2679,0.687
15.5690625,0.2378,0.977,10.81828125,0.1848,0.822
19.65375,0.3463,0.816,16.5121875,0.2689,1.113
16.35984375,0.2727,0.89,15.69703125,0.2256,1.214
16.67953125,0.2681,0.762,,,
17.26171875,0.3056,0.58,,,
18.17109375,0.2888,0.752,,,
12.59296875,0.1011,1.049,,,
15.70078125,0.2555,0.866,,,
18.24234375,0.2825,0.751,,,
12.354375,0.2307,0.931,,,
18.10359375,0.2679,0.645,,,
14.74125,0.2239,0.907,,,
17.61984375,0.3042,0.755,,,
10.63171875,0.194,0.959,,,
12.26578125,0.1948,0.827,,,
14.84484375,0.2779,0.794,,,
15.855,0.2833,0.797,,,
13.98515625,0.2129,0.848,,,
18.24609375,0.2962,0.777,,,
14.43890625,0.2577,0.75,,,
15.8409375,0.2502,0.914,,,
11.416875,0.1215,0.988,,,
13.745625,0.202,0.836,,,
13.6246875,0.2524,0.822,,,
10.79953125,0.1979,0.951,,,
15.14953125,0.2295,0.996,,,
14.1778125,0.2459,0.951,,,
11.31421875,0.1566,1.026,,,
15.823125,0.2603,0.911,,,
10.08328125,0.1389,0.967,,,
16.01390625,0.2275,0.826,,,
18.4659375,0.2824,0.831,,,
13.1521875,0.1975,1.015,,,
17.34796875,0.3008,0.835,,,
10.41046875,0.1763,0.925,,,
12.0984375,0.2167,0.838,,,
14.96203125,0.2708,0.812,,,
10.15265625,0.1932,0.91,,,
15.71859375,0.2579,0.832,,,
16.674375,0.3032,0.42,,,
13.53046875,0.2281,0.727,,,
17.5125,0.2838,1.378,,,
13.5075,0.2455,0.583,,,
9.69609375,0.1712,0.878,,,
14.59875,0.2307,0.957,,,
15.52453125,0.2879,0.826,,,
9.9215625,0.1836,0.925,,,
10.26890625,0.186,1.104,,,
17.165625,0.2756,0.776,,,
16.558125,0.295,1.115,,,
18.9009375,0.3168,0.975,,,
